article_id, sim0, simlev1, simlev2, simlev3, simlev4, simlev5, simlev6, simlev7, simlev8, simlev9
0, 0.6151429414749146, 0.6305569410324097, 0.6304209232330322, 0.6206793785095215, 0.6220592856407166, 0.6241176724433899, 0.6207495927810669, 0.6143107414245605, 0.6258665323257446, 0.6141050457954407
1, 0.6569507718086243, 0.6491901278495789, 0.6410860419273376, 0.6432927250862122, 0.6467374563217163, 0.613534152507782, 0.6491391062736511, 0.6326003670692444, 0.6323689222335815, 0.6541939973831177
2, 0.7007260322570801, 0.680866003036499, 0.6629127264022827, 0.6629529595375061, 0.6767891049385071, 0.6848897933959961, 0.6671819686889648, 0.6688995361328125, 0.673436164855957, 0.6827526688575745
3, 0.5993157625198364, 0.6177435517311096, 0.5980894565582275, 0.5861942768096924, 0.5996207594871521, 0.6323686838150024, 0.5867196917533875, 0.5456269383430481, 0.6002705693244934, 0.6008654236793518
4, 0.6315221786499023, 0.5519570708274841, 0.44399431347846985, 0.5217352509498596, 0.531451404094696, 0.4651508331298828, 0.6427977085113525, 0.6477799415588379, 0.651053786277771, 0.4958300292491913
5, 0.665520966053009, 0.6446446180343628, 0.6406043767929077, 0.6419565677642822, 0.6193953156471252, 0.6292000412940979, 0.6528992056846619, 0.6354638338088989, 0.6316894888877869, 0.6322782039642334
6, 0.3580999970436096, 0.5855966210365295, 0.5551373958587646, 0.5996413826942444, 0.5535889267921448, 0.5164081454277039, 0.5956250429153442, 0.5981518030166626, 0.5590661764144897, 0.6072021126747131
7, 0.6821272373199463, 0.6680771112442017, 0.6822884678840637, 0.668385922908783, 0.621039628982544, 0.641528844833374, 0.6749091148376465, 0.6339870095252991, 0.64523845911026, 0.6556263566017151
8, 0.6565070152282715, 0.6476069092750549, 0.672905683517456, 0.6584773063659668, 0.6659404635429382, 0.6541509628295898, 0.6669982075691223, 0.6427450180053711, 0.6643242239952087, 0.6140047907829285
9, 0.613014280796051, 0.6372753381729126, 0.6155044436454773, 0.5984154343605042, 0.6187530159950256, 0.5205600261688232, 0.6548128724098206, 0.5539311170578003, 0.6378124356269836, 0.6124792098999023
10, 0.6114442348480225, 0.632275402545929, 0.5745348930358887, 0.5936577916145325, 0.6063212156295776, 0.5745118856430054, 0.5828481316566467, 0.6070678234100342, 0.5920810699462891, 0.6182548403739929
11, 0.5663716197013855, 0.6225018501281738, 0.550692081451416, 0.5944918990135193, 0.6105051636695862, 0.5982438921928406, 0.5954365730285645, 0.5786464810371399, 0.5924581289291382, 0.6170595288276672
12, 0.5695958137512207, 0.521400511264801, 0.5359485745429993, 0.5652960538864136, 0.5761955380439758, 0.5763884782791138, 0.5042540431022644, 0.5034095048904419, 0.5521288514137268, 0.5303700566291809
13, 0.5820871591567993, 0.6120389103889465, 0.6094476580619812, 0.5392531156539917, 0.6175506711006165, 0.6197100281715393, 0.6211661696434021, 0.6401215195655823, 0.5882261395454407, 0.6144945621490479
14, 0.5870068073272705, 0.5600122809410095, 0.5916545391082764, 0.6177332997322083, 0.6575444936752319, 0.5771617293357849, 0.6365149021148682, 0.6204631328582764, 0.5588952898979187, 0.546259343624115
15, 0.6735414862632751, 0.6588534712791443, 0.6650422811508179, 0.6198590397834778, 0.6702263951301575, 0.6483410000801086, 0.6704495549201965, 0.6640604138374329, 0.6706565022468567, 0.6751630306243896
16, 0.6055622696876526, 0.6489912867546082, 0.5955486297607422, 0.6293312311172485, 0.5628854036331177, 0.574385404586792, 0.6064015030860901, 0.6145123839378357, 0.5974671840667725, 0.6098843812942505
17, 0.6499282121658325, 0.6194561719894409, 0.6177414655685425, 0.6078624129295349, 0.6243473291397095, 0.6550021767616272, 0.6274863481521606, 0.6335907578468323, 0.6351468563079834, 0.6522958874702454
18, 0.5853586792945862, 0.5628264546394348, 0.6256539225578308, 0.6110902428627014, 0.5485591888427734, 0.6187533140182495, 0.613670289516449, 0.6008339524269104, 0.5506192445755005, 0.551903247833252
19, 0.5644320249557495, 0.556265115737915, 0.5455417633056641, 0.5323066115379333, 0.5232128500938416, 0.5934769511222839, 0.5277800559997559, 0.540536642074585, 0.5155146718025208, 0.5120505094528198
20, 0.6492418050765991, 0.627513587474823, 0.6425615549087524, 0.6340671181678772, 0.6079611778259277, 0.616582989692688, 0.632967472076416, 0.6456104516983032, 0.6595076322555542, 0.6127861738204956
21, 0.5826212167739868, 0.5294875502586365, 0.6019395589828491, 0.4333111047744751, 0.4832074046134949, 0.585634171962738, 0.5920684933662415, 0.6629222631454468, 0.5091384053230286, 0.4057982861995697
22, 0.6820029020309448, 0.6432546377182007, 0.6741730570793152, 0.6366292834281921, 0.6230888366699219, 0.6348468065261841, 0.6528452038764954, 0.6510193347930908, 0.6613287925720215, 0.6355506777763367
23, 0.5648580193519592, 0.5783644914627075, 0.5565989017486572, 0.4961905777454376, 0.5089872479438782, 0.5591439008712769, 0.5506672263145447, 0.535494863986969, 0.4935682415962219, 0.5992941856384277
24, 0.6462661027908325, 0.6529266238212585, 0.6248889565467834, 0.6633781790733337, 0.6150964498519897, 0.5993759632110596, 0.6541872620582581, 0.6258261203765869, 0.6461475491523743, 0.59717857837677
25, 0.6712707281112671, 0.7143672108650208, 0.677864670753479, 0.6543929576873779, 0.6881171464920044, 0.6771304607391357, 0.6785950660705566, 0.6630235910415649, 0.6460205912590027, 0.6898155212402344
26, 0.6241228580474854, 0.5910578966140747, 0.6534743905067444, 0.6205363869667053, 0.6188800930976868, 0.6102455854415894, 0.5922722816467285, 0.6381465792655945, 0.6366669535636902, 0.6118598580360413
27, 0.6651213765144348, 0.6523195505142212, 0.6701229214668274, 0.6668415665626526, 0.6648887395858765, 0.6529477834701538, 0.6328368186950684, 0.6680706143379211, 0.644538402557373, 0.6598457098007202
28, 0.6879644393920898, 0.6603841781616211, 0.6757344603538513, 0.6572742462158203, 0.6906089782714844, 0.6660884022712708, 0.6772201657295227, 0.6406890153884888, 0.6678853034973145, 0.6608467698097229
29, 0.6429345607757568, 0.6598665714263916, 0.6522809267044067, 0.6630568504333496, 0.6488451957702637, 0.6350631713867188, 0.6420676112174988, 0.6543234586715698, 0.6478895545005798, 0.6197763085365295
30, 0.6163139343261719, 0.5850524306297302, 0.63114333152771, 0.583615779876709, 0.5844892263412476, 0.6103665828704834, 0.6361275911331177, 0.568230390548706, 0.5713523626327515, 0.6323338747024536
31, 0.6182134747505188, 0.6353226900100708, 0.5727101564407349, 0.598870575428009, 0.6330938339233398, 0.6124750971794128, 0.5432491898536682, 0.5993942022323608, 0.5887706279754639, 0.6264632344245911
32, 0.6099573969841003, 0.6003425717353821, 0.6188899874687195, 0.6109235882759094, 0.6342284679412842, 0.6225495934486389, 0.6219983696937561, 0.6151196956634521, 0.5987222790718079, 0.6084309816360474
33, 0.593908965587616, 0.5846367478370667, 0.6185899376869202, 0.65106201171875, 0.6416366696357727, 0.6164314150810242, 0.6336750388145447, 0.6306806206703186, 0.6253561973571777, 0.6591672301292419
34, 0.5494375228881836, 0.5606454610824585, 0.5501410365104675, 0.5465152263641357, 0.6383477449417114, 0.5146893262863159, 0.5484832525253296, 0.5660048127174377, 0.5376670956611633, 0.571742832660675
